,madlad
3848,and then the different actual conditions in the Member States must also be taken into account .
3849,"Mr President , I would like to start by saying that the European Union is a European Union of"
3850,I think that Mr Swoboda 's proposals for the Council regulation are appropriate
3851,I believe that the regulation would gain from this .
3852,I would also like to expressly thank him for the explanation he has given and I
3853,the situation in recent weeks and months has far from improved .
3854,a delegation from our group recently visited Turkey and returned with appalling reports from
3855,I do not want to expand on that here .
3856,"this false assumption , which is still widespread because the exchange rate between the euro ,"
3857,"the intrinsic value of money is decisive , and here we have historically recorded"
3858,it is good that the European Parliament 's monetary dialogue with the European Central Bank makes it
3859,"the fundamental problems of modulation also remain , even if the cuts are set at a low"
3860,reducing aid through modulation will result in an unreasonable reduction in
3861,"for our farmers , the amount of 7500 euros is too low ."
3862,I have therefore tabled an amendment to increase this amount to EUR 10
3863,"otherwise , practically all Luxembourg farmers would suffer income losses of up to 2"
3864,"Madam President-in-Office , the open forum is not an alternative to the Convention ."
3865,"it can serve as a preparatory measure , but the Convention – made up of parliamentarians"
3866,that is why this is a building on the public process and not an alternative to the public process
3867,"critically , we would like to note that the proposed or listed qualification deficits"
3868,"as socialists , we want to give all workers the chance to take advantage of mobility"
3869,"we must , however , also offer them these opportunities ."
3870,"the new labour market must not be open only to special small groups , but it must be open"
3871,"I therefore think that we need creative ideas and solutions from the Commission , not just a list"
3872,we also need a study that looks more closely at the possible disruptions to the labour
3873,I think that the Commission has put forward a proposal with many good ideas .
3874,"the document offers many good approaches , but it can certainly be improved ."
3875,one area where the Committee on the Environment has made improvements is the mandatory warnings in
3876,"it is important that consumers are made much more aware , and that this information should be manda"
3877,it is scientifically proven that the risk of death from sudden infant death syndrome is five times higher
3878,"the United States Environmental Protection Agency has calculated that 5,000 cancer deaths are"
3879,"that means that there are far more deaths than those caused by environmental poisons , which we"
3880,I know that the area of food safety is also being looked at with particular attention here in
3881,"therefore , with regard to food safety , the necessary measures will be taken by February"
3882,"the number is relatively small , however , and one should not assume that if some farms"
3883,"however , financial support for Turkey , in order to support those forces which want to move closer"
3884,we therefore also find the TDI 's idea of setting up a sort of council of
3885,"the committee did not make this decision easy for itself , but in the end adopted the a"
3886,the fact that this motion has been produced as a compromise between the four major groups clear
3887,the Commission should follow this example so that it can remain credible in its handling of European tax
3888,I must point out that the decisions taken in Berlin would allow for a 6.1
3889,"that means that there is still a great deal of negotiation to be done , and"
3890,"I would like to take this opportunity to thank Parliament and the rapporteurs , Mrs Haug ,"
3891,"I would also like to thank the Council , and in particular for the brilliant performance – Mrs"
3892,"Mr President , I can understand the rapporteur 's question very well ."
3893,"on the other hand , it is simply a matter of a different legal assessment of the relevan"
3894,we believe that our proposal is clearer on this point .
3895,"however , it does not really matter which of the two amendments is adopted ."
3896,I therefore ask that we vote on the Liberals ' motion first and then on our
3897,"we believe that , including the oral amendment , we have a somewhat clearer proposal"
3898,"but there is no war on either side , depending on what is assumed ."
3899,the European Parliament is a co-legislator and we must ensure that careful work is
3900,"we still have many opportunities at first reading , but we must also keep possibilities open for second"
3901,"I therefore ask for your support , but I also ask the Legal Service and our rapporteurs"
3902,"however , the future will show whether this pharmaceutical legislation will be easier"
3903,I thank all those who have taken part and hope that we will succeed in this great work
3904,it is not that this was a case of a country that is not in the OSCE and
3905,"yet he is overwhelming the media , and anyone who has a different opinion is subject"
3906,"I think we must protest strongly here , and it is clear that normal relations with the European"
3907,another point is the substance bans .
3908,I believe that the Commission should pay close attention to ensuring that sustainability is demonstra
3909,it is important to avoid the situation where substance bans increase consumption and costs in certain areas
3910,"often , the advocates of the patent regime argue that patents would benefit tinker"
3911,a patent would protect these people from companies using their invention without paying the inventors a
3912,"we are not satisfied , not all of us , we know that !"
3913,nor can the Commission be satisfied that the SAPARD funds have not flowed in the
3914,"but let us at least put some steam into the last few metres , so that something can be"
3915,we must also make it clear to these candidate countries that this is not just about the quality they
3916,"we cannot make differences in quality when producing agricultural products , depending on whether"
3917,"the apology of some candidate countries , that we do not export anything to the EU at the"
3918,we cannot allow this to happen .
3919,we need money and quick help .
3920,money that is now spent on SAPARD and other programmes in the candidate countries will save
3921,let 's try to make the best of it !
3922,it is good that state aid has been reduced again .
3923,this is the result of the Commission 's strong aid control policy .
3924,"this is because , not only does this aid pose the risk of market distortions ,"
3925,"Mr President , ladies and gentlemen , I am very happy ."
3926,"in contrast to the previous speaker , I would like to say quite clearly that this White Paper"
3927,the people living along the transit routes are desperate .
3928,many of them are farmers whose families have lived on their farms for centu
3929,"not that they are higher , but they live a little higher up ."
3930,I beg you not to take away all hope from these people !
3931,"thirdly , food safety ."
3932,"one thing is clear , the fish processing industry is not the cause , but the victim of har"
3933,it cannot therefore bear the burden alone .
3934,it cannot be the purpose of consumer protection to set limit values according to the motto :
3935,"reliable and toxicologically secure limit values are useful , but not quick"
3936,"I would like to write this down in the pedigree book , especially for the Member States ."
3937,"finally , I would like to thank the rapporteur on behalf of our group for his"
3938,I think we can look forward to Mr Byrne 's reply .
3939,"this brings me to the last proposal , namely the immediate measures for scrapping"
3940,our proposal is to set up a scrapping fund .
3941,this is an immediate measure .
3942,"this is not a permanent approach , but an immediate measure to help us re-establish"
3943,the fund is intended to supplement the funds already provided for in the Structural Fund for
3944,this funding and the new fund will provide financial support for the decommissioning of fi
3945,"secondly , the report calls for better regulation of the activities of brokers in this area ."
3946,there is a certain amount of business in this area which is carried out in a grey
3947,we therefore call for registration of those who engage in such intermediary activities and believe that a
3948,my request - whether you respond to it as a citizen or as a member of a
3949,"there are animal welfare organisations in Greece , and I also know that they catch the dog"
3950,I believe that these organizations need money and the support of a citizen .
3951,"if he happens to be a minister , it does not hurt !"
3952,"indeed , France has the right to ban animal meal for domestic reasons ."
3953,but what may be right for France in this situation may not be right for all Member States .
3954,it is good that we are holding to the joint decisions of 1997
3955,a partially functional recycling system was ruined because of the failure to respect the safety
3956,"I say it openly , what we will be calling for in the resolution tomorrow – a"
3957,"however , parts of animals that are approved for human consumption must also be able to be used"
3958,"my group leader , Mr Poettering , mentioned Richard Perle ."
3959,I do not think it is acceptable that the United States should be imposing a unilateral
3960,they cannot decide what is right or wrong in this world on the basis of national interests a
3961,"this approach , which he expressed today , for example , in a contribution to the Berlin"
3962,the second point I would like to make is that I do not think it is very fair to
3963,we have thus been obliged to continue to take account of the decisions taken by the
3964,"in this context , it is noteworthy that the Brussels Summit did not limit the funds for"
3965,"on the contrary , he has reminded us of the importance of the less-fa"
3966,"Mr President , dismayed by the continued prejudice of 14 Member States against Austria"
3967,"since the resolution on the Amsterdam Treaty , the assessment has changed considerably ."
3968,"secondly , the European Union must help to forge a global political alliance against terrorism ."
3969,"we welcome your actions , Mr President-in-Office , as well as those of Mr Sol"
3970,"we ask you to continue your mediation efforts in the Middle East , especially between Palestinians and"
3971,they are in all of us ' interests .
3972,"Mr President , I would like to start by saying that the European Union is a European Union of"
3973,"I will be brief , because most of it has already been said , but not by me ."
3974,"the situation in Peru is worrying , similar to that in Paraguay ."
3975,"however , it must be said that what we have now experienced in Peru is nothing new ."
3976,"for years now , the President of Peru has not been acting according to the rules of the"
3977,"I would therefore not only send an observer delegation to Peru , but I would also recommend"
3978,"I would like to focus on one point in particular , namely the question of evaluation :"
3979,I can already tell you that the evaluation in 2003 will be based on
3980,"firstly , as every year , a so-called gender scoreboard will be drawn"
3981,this work involves both the evaluation of the framework strategy 2001-
3982,a preliminary report on these activities is scheduled for the end of 2003
3983,"when we , as Parliament , speak out in favour of a limited revision of the financial perspective"
3984,but here too we have said that we want to support this .
3985,"we have tabled an amendment aimed at reducing this period to two years ,"
3986,we then noticed that you had presented us with the explanations of this comit
3987,"the third important area is the WEU , external security ."
3988,we have experienced in the Kosovo conflict what it means not to have one 's own information
3989,that is why we should keep this option open when the WEU is integrated into the EU
3990,a foreign and security policy of its own also means having its own information resources .
3991,"we should not close ourselves to this path from the outset , but always keep an"
3992,I abstained from voting on the PPE / Verts / ALE resolution on the
3993,I see it as positive that there is something to oppose the British parliamentary decision .
3994,it is emphasised that the European Parliament stands by its decision to ban cloning (
3995,"we regret that products from genetically engineered animals will not be subject to labelling , but"
3996,"even if the Commission does not reflect the majorities that emerged from the European elections ,"
3997,the restructuring of the portfolios also suggests greater efficiency and transparency in
3998,"however , in the interests of the citizens , we will scrutinise every single Commissioner ."
3999,but it is a hearing and not a questioning .
4000,we need credible representatives for a strong Commission .
4001,but we urgently need the necessary information for this .
4002,it is necessary that the findings of the Second Report of the Council of Wise Men
4003,"otherwise , a new crisis between Parliament and the Commission is inevitable ."
4004,delays in the appointment of the Commission are not in the interests of the citizens either
4005,"Mr Stockmann has said so much that is right , namely that the main objective ,"
4006,"Mr Stockmann , if you vote with us tomorrow in favour of the Commission proposal ,"
4007,"I can understand that you do not want to hurt your Austrian rapporteur , but you"
4008,vote for the Commission 's proposal !
4009,"thirdly , and finally , I would like to remind you that it has been accepted since"
4010,the numerical disadvantage is more than offset by the advantage of greater influence in
4011,"in conclusion , I would like to say that , with your report , Mr Varela , you"
4012,the Commission will certainly take their thoughts into account as much as possible in its forthcoming
4013,"I am very pleased , Commissioner , that you and the Commission have recently introduced the State"
4014,this was a joint demand from Parliament .
4015,"this scoreboard , which is in its infancy , can , in my view , become an"
4016,"Mr President , I would like to start by saying that the European Union is a European Union of"
4017,some Members have asked specific questions .
4018,I would like to ask Mrs Wallström once again to give a specific response to this .
4019,"firstly , the question of when sector-specific reduction plans with timetables from the Commission"
4020,then there is of course the question of your position on a directive on the feeding of
4021,I would be very grateful if you could give us some concrete comments on these three points
4022,"I do not know whether you , who are so new in office , are already doing that ."
4023,we all agree that we should do something to protect the environment .
4024,"one year ago today , the serious accident at Lake Constance occurred ."
4025,"this is not directly related to this regulation , but it is an indication that many airspace"
4026,that means that it is our responsibility to ensure that we create safety and efficiency .
4027,let me mention two other aspects that go beyond Barcelona .
4028,"firstly , the reform of the Council ."
4029,"Mr President-in-Office of the European Council , in January you said that you were in"
4030,we have information that this is to be stopped at a certain level - not at political level
4031,"we would like to encourage you to implement this institutional working group at political level , including by"
4032,"if we achieve good results in Seville , that will be to the credit of the Spanish Presiden"
4033,that is our all advantage .
4034,animal feed is still under criticism and will remain so until we have open declaration and through
4035,"it cannot be the case that we destroy valuable substances for fear of fraud , improp"
4036,"that is why I believe that the efforts to ensure openness , control and truthfulness"
4037,"for that long , the ban on feeding meat and bone meal to omnivores"
4038,I would like to explain this rejection in terms of the subject .
4039,the first is the deletion of references to a purely customs regime and the automatic
4040,"to be clear , the main purpose of our proposal is to bring the COM for bananas into"
4041,the most important element of the proposal is the introduction of the customs regime after a certain transition
4042,"however , this will require an agreement with the interested parties on the administration of the tariff quota"
4043,the Commission proposal aims to ensure that a credit institution and its subsidiary in another Member State can
4044,this is what this proposal for a directive ensures .
4045,"Mrs Schreyer , this transfer took place despite the explicit warnings from this House"
4046,Parliament then pulled the emergency brake and put the additional posts envisaged for the current
4047,it is now in the hands and responsibility of the Commission to remove the barriers described
4048,only on this condition does it make sense to lift the current reserve .
4049,we are in the third year of the Financial Perspective .
4050,some of the things we have to do together here are almost household work – that has to be
4051,this is the third year in which we have put the budget together .
4052,"I think that we can indeed be satisfied with the result again , it is in"
4053,"on behalf of the Commission , I would like to thank all those involved once again ."
4054,I will mention a few points that will be important to us .
4055,it is good that the Commission is taking a more aggressive approach to the issue of arre
4056,Commissioner Schreyer has just given a few figures on this .
4057,"but we will also have to ensure that payments for new commitments are processed quickly ,"
4058,we also agree with this House that the issues of control must be a cornerstone in the area
4059,"I must , however , also reiterate the Commission 's position that it cannot assume sole"
4060,it is the Member States – and this is in line with our basic structure in the European Union
4061,"in exercising their sovereign rights as flag States , they must provide the necessary human ,"
4062,increased research into labelled vaccines against animal diseases will be made possible within the
4063,"Mr Mulder , you have convinced the Commission of your proposals ."
4064,I am confident that you will also succeed in convincing the Council .
4065,"in any case , I would like to appeal to the Council , because this is compulsory"
4066,that would be neither justified in terms of content nor in keeping with the good spirit
4067,that is why I would like to see not only a well-meaning letter from our President
4068,that is the purpose of this oral question and the accompanying resolution that is being discussed
4069,the second area that is important to me is the aftercare area .
4070,we must mention mine clearance programmes and pay particular attention to humanitarian actions .
4071,"in particular , research initiatives in this area should be supported , especially those focusing on"
4072,"we should not , however , neglect the fact that the European Union , and in particular"
4073,the Commission has set very strict deadlines for the licence periods and the transitional arrangements
4074,I think that we in the committee have found a fair compromise between the various stakeholders
4075,I would like to see a start on the introduction of licensing systems throughout Europe .
4076,"we will be able to discuss this in further steps , Commissioner , in order to make it even"
4077,the current situation is not satisfactory .
4078,the Commissioner himself presented an EU statistic which states that at present some countries are extremely affect
4079,"Austria ranks at the top of this statistic , with almost five asylum applications per thousand"
4080,"if you compare these statistics , you will see that Austria has 50 times as many"
4081,"please therefore understand this initiative , which can only be welcomed because it should lead to"
4082,because what is happening now and the time we need now are unsustainable .
4083,"for example , if a group dismisses a staff member , that staff member will hold Parliament"
4084,or that accrued and carried-over leave entitlements of group staff have
4085,I would therefore warn against creating such a situation through fake conflicts .
4086,"if we want to avoid this situation , we have the opportunity to find a solution at the for"
4087,but if in the end a situation should actually arise in which the current state of affairs
4088,"as you know , the Commission proposed a year ago to limit fishing effort in the context"
4089,"the Council has not yet taken a decision on this , and developments have not stopped in"
4090,"Parliament , after all , issued its opinion on this recovery plan on 13 June this"
4091,"I would like to make one final , very personal comment ."
4092,anyone who believes that he can achieve environmental protection with the CO2 tax will find no
4093,"I am quoting the Secretary-General of the IAEA , who recently told us all that"
4094,"that is why I consider all CO2 considerations , until proved otherwise , to be"
4095,"finally , a huge challenge : enlargement ."
4096,I believe that enlargement also represents a huge opportunity for small businesses .
4097,but let us not be afraid to give them the necessary help .
4098,it is only a few years away .
4099,"many are already there , many are interested , and I believe that the work at the grassroot"
4100,"this is where we in the European Parliament see the challenge of committing ourselves , of"
4101,"on the question of a satisfactory transit arrangement to and from Kaliningrad , the former König"
4102,I am not satisfied with how this is actually going .
4103,"it has happened , as I have warned several times :"
4104,"in practice , there are complications for travellers and more bureaucracy , and there is"
4105,"this cannot be in the interests of either party involved , and with Belarus , which is Lithuania"
4106,we do not agree on the possibilities for employees to participate .
4107,there is a reason for this .
4108,"the reason is that we have different systems in all countries , even though we have the same head"
4109,"I therefore say my opinion : I say yes to an internal market for financial services , yes"
4110,I therefore also advocate that supplementary pension schemes which include biometric risks offer
4111,"it is therefore important to recognise that , in the field of audiovisual content"
4112,the cross-border distribution of European works is still too low .
4113,"in cinemas , the market share of American films is 80 % , and that of European"
4114,"in television , the American share of imports of feature films and series is 74 % , that"
4115,"Madam President , Mr Swoboda ’ s question about reactor safety prompted me to ask whether"
4116,I believe that this is not entirely clear in all areas in all our institutions .
4117,perhaps this should be clarified again next year .
4118,"have the murders , the expulsions , the looting and the arson in Kosovo stoppe"
4119,"unfortunately , not ."
4120,"unfortunately , the crimes continue , with two differences ."
4121,"firstly , the victims of the crimes are no longer the Kosovars of Albanian origin"
4122,"secondly , it is no longer the Yugoslav army that is in Kosovo , but our"
4123,who is to blame ?
4124,"unfortunately , those for whom the international community has waged a war , the first war"
4125,the former KLA - I say ' former ' because it is said to have ceased to
4126,and that is the shame !
4127,"in this difficult environment , the European Central Bank is doing an excellent job ."
4128,"however , it must continue to do everything possible to ensure that it does not discredit the trust"
4129,we therefore welcome their policy of a calm hand and encourage them to continue with it .
4130,"however , I would like to question whether last week ’ s rate cut fits into this frame"
4131,what do we need to do to promote this ?
4132,firstly - and I would like to thank Mr Seppänen for this - we in the
4133,the Group of the European People ’ s Party ( Christian Democrats ) and European Democrats will
4134,"given the particular sensitivity of the subject , the adoption of the report will provok"
4135,"the report makes substantial demands on the governments of the candidate countries , which have not"
4136,I firmly believe that such an approach is in no way conducive to promoting confidence
4137,"secondly , I do not want to make our lives so easy ."
4138,"when we point our fingers at the Americans , we must not forget that a number"
4139,it is not that the Europeans have done their homework .
4140,we know that CO2 emissions are increasing in our country and we have discussed this here
4141,the question is : do we need a global agreement to start reducing emissions at home ?
4142,I would remind the Commission of its communication on emissions trading and of the Hague Conference
4143,"my question is : are you prepared to do something like that , to present something like that"
4144,what is preventing us from starting emissions trading within the European Union in 200
4145,"when this discharge procedure began last December with the Court of Auditors ' report , I point"
4146,"in fact , two aspects also point in this direction , namely the relatively small number of"
4147,"as for the second part of your question , I can say that the Member States are interested in"
4148,"so , you are right , on the one hand it is of course the Finance Ministers who"
4149,"on the one hand , we have the forecast and the huge discrepancy with what"
4150,"agreement was also reached between Parliament , the Council and the Commission on the notification documents for export"
4151,the exporter shall then keep the notification documents and the acknowledgement of receipt
4152,he is also obliged to send this documentation to the authority of the Member State from which
4153,the Commission then makes these documents available to the public in accordance with EU rules on access to
4154,"on the human rights issue in Nigeria , the EU has drawn up a common position , draf"
4155,I mention this development in the year 2000 after the elections because it shows that
4156,we have already come a long way .
4157,"we must consistently continue what was started in May and July , up to a European agreement"
4158,Croatia and the region deserve it in the interests of European peace .
4159,and for two reasons .
4160,the first reason is prevention .
4161,I was in Banja Luka a few days ago at a conference of our group .
4162,"there were encouraging things to see , the Serbian opposition , which is really in a pleasant"
4163,"but I also met a man who sat there , stammering with fear , and reca"
4164,"I found the conversation quite interesting , because it was somewhat like saying that if he had known"
4165,I therefore ask you to make it clear to these citizens in the resolution we are signalling
4166,you will therefore see - and I would like to thank all the Members of the Committee
4167,that is the reason for this resolution .
4168,I would be pleased if these proposals from the Committee on Regional Policy could be taken into
4169,"Mr President , ladies and gentlemen , thank you very much ."
4170,"under the auspices of Mr Chichester , a report on this subject has been presented"
4171,it is a good report .
4172,the European Union also promotes environmental policy in the field of energy through programmes that promote the
4173,anyone who knows me knows that I am an angry opponent of all kind
4174,I am not an additional member of the Committee on Budgetary Control for nothing .
4175,it is clear that Korea is under-offering itself and is sliding into its own ruin if
4176,"young girls are particularly at risk in Africa , more than in Europe , for example ."
4177,"nowhere are there more teenage mothers , nowhere do they have more infected babies"
4178,the President-in-Office will certainly also comment on the disaster fund in a moment
4179,"nevertheless , I would like to say once again that we are in a special situation here"
4180,if we really succeed in establishing all the legal bases for this new instrument by the end
4181,"Mr President , I would like to join Mrs Lulling in her comments ."
4182,I would like to say that Mr Haarder has made an exemplary effort to reach a consens
4183,that is why his report is much better than all the previous ones .
4184,"nevertheless , I voted against this report , along with the majority of my group ,"
4185,"the German Basic Law places marriage and the family under the special protection of the constitution , and this"
4186,"this , on the other hand , is a guarantee of human rights ."
4187,"marriage and family are the basis of human rights , as is the right to life ."
4188,I therefore believe that these points should have been omitted from the report on human rights .
4189,"this report on human rights would then have been unanimously approved in this House , because"
4190,"the enlargement of the European Union is not a changeover to the future , where it has"
4191,"the benefits are already there , they are visible , and they are benefits for everyone ."
4192,"I am firmly convinced that without the prospect of European integration , the system transformation"
4193,we have only one debate left this afternoon .
4194,"we could have held urgent debates this afternoon , but they have been cancelled ."
4195,we have a coup d 'état in Côte d 'Ivoire at the moment :
4196,"we will deal with this on 9 October , when the case is long over ."
4197,"in line with Mrs Randzio-Plath 's proposal , we want to extend the"
4198,we ask Members to follow this draft report and clearly reject the Liberals'
4199,the PPE was perfectly entitled to refer this report back to committee .
4200,"it is therefore incomprehensible that , in view of the serious constitutional problems ra"
4201,"I think Amendment No 13 is very good , because an annual review of the"
4202,"I am quoting the oral amendment , which is also available to you in English ."
4203,it reads :
4204,"overall , we believe that our relations with Russia are strategic ."
4205,"our relations with the United States of America are of strategic importance , our relations with the Mediterranean are"
4206,"our relations must be based on democratic principles , the rule of law , social and market"
4207,"on this basis , we want to cooperate with Russia in political , economic and security matters ."
4208,the financial resources approved by the Council for the culture programme are in flagrant contradiction with
4209,cultural activity creates identity .
4210,"cultural activity is an expression of individuality , an expression of one ’ s own personality ,"
4211,we want a colourful Europe .
4212,we want a Europe based on the principle of diversity in unity .
4213,we want people to understand and appreciate the differences .
4214,that is why we have been in favour of the breakdown of the budget or the allocation
4215,"that is why we have rejected the strong focus on large networks and network structures ,"
4216,"( de ) Madam President , I would like to thank the rapporteur for her report ."
4217,I have checked the documents again and have found that we have already voted on this subject
4218,"for this reason , it is without effect ."
4219,"I assume that we will be able to discuss this very specific problem , which is the subject of"
4220,if I keep in mind that we are now in the eleventh year after the revolution in
4221,we must keep our word :
4222,"“ If you shake off the dictatorship , Europe will be open to you too ”"
4223,what we particularly welcome is the package of measures against illegal immigration and against the
4224,how is this possible ?
4225,"this communication was issued on 25 November , and it is only today , almost four"
4226,why did four weeks pass ?
4227,"I would like you to give me clear answers , also in the interests of Luxembourg consumer"
4228,"Mr President , I would first like to ask when the final location of the Police College will be"
4229,"you may be aware that in 1998 , at my suggestion , Parliament proposed"
4230,we actually thought that it should be located in the border area between the current EU and the candidate
4231,"firstly , when will a final decision be taken on the Academy 's seat ?"
4232,my second question concerns border protection : what do you think of a separate European legal basis for
4233,"and thirdly , should the body for integrated European border management , which you have just mention"
4234,one more point : it is not acceptable that there is discrimination against workers solely on
4235,neither tax avoidance nor unfair tax competition nor a lack of exchange of information in
4236,we do indeed need the coordination of tax policies that the Monti package so hope
4237,"in the interests of workers who want to carry out cross-border activities , as provided"
4238,that is why it is extremely important for us as the European Parliament to get answers from
4239,"Mr President , Commissioner , ladies and gentlemen , I am very pleased to see that"
4240,"I would of course like to begin by congratulating Mr Savary on his excellent work ,"
4241,"however , I am very pleased that , as has already been pointed out , with the"
4242,"not just to some lazy compromise , but to a really good package !"
4243,"the United Nations Intergovernmental Panel on Climate Change , IPCC , for example ,"
4244,I am therefore convinced that our concepts of crisis management should also have a social-
4245,"otherwise , we will often only be curing the consequences of our own policies ,"
4246,"all these are issues that will be directly linked to enlargement , because we are already see"
4247,"in the event of enlargement , the question of capacity for action will be raised immediate"
4248,"in this respect , the next major challenge lies within the EU : common security and foreign policy ,"
4249,"the search engine can capture phone numbers , voices of top destinations , the content of e"
4250,Handwritten faxes or spoken messages cannot be recorded with this search engine in
4251,"otherwise , we have indications that the system bears the code name ECHELON ."
4252,but it doesn 't matter what it is called .
4253,"it can also be called Rumpelstilzchen , for us it is important what it does"
4254,"however , it is a revolution in the discussion and in the history of fundamental and human rights that"
4255,"this Charter is also an expression of a common base of values for all the candidate countries ,"
4256,"Bavaria is particularly known as the land of beer , but also as a land of"
4257,you have surely heard many times that tradition and progress are considered particularly important in Bavaria
4258,the saying of leather pants and laptop is also often used by Prime Minister Stoiber .
4259,"the location Bavaria is not only known for the Oktoberfest in Munich , but also for high"
4260,the decision of the Helsinki European Council on the future of relations between the European Union and Turkey has
4261,I would like to emphasise that several political processes are taking place at the same time
4262,in foreign policy - as was mentioned earlier - the question arises of how to proce
4263,"Asia has a decline of -2.2 % , Latin America of -6 % and food"
4264,the question is whether the necessary balance between traditional priorities and new tasks is properly
4265,that would be too little for me in terms of foreign policy .
4266,"Mr President-in-Office of the Council , I know that you are always willing to coopera"
4267,I hope that the Council as a whole will be as well and that you will be able to
4268,"fourthly , how is the planned disarmament to work if the weapons"
4269,is it supposed to be as successful as in Kosovo ?
4270,"these are some of the questions , and I must criticise the fact that there is a certain"
4271,the above-mentioned guidelines on best practices in consultation are intended to
4272,the President of the Commission intends to address the dialogue with the citizens in the context of the
4273,this White Paper will be published before the end of next year .
4274,the standstill clause is intended to prevent our legislation from developing further .
4275,a report that does not focus on these problems ignores what it is all about : accele
4276,"following the preparatory work carried out by the Danish Presidency last year , the Commission"
4277,this process has proven to be very helpful .
4278,the Commission has also taken into account the European Parliament 's resolution of 16 January
4279,"in June 2003 , the Commission submitted its proposals for the second action"
4280,"following discussions in the Council , the final version of the document was adopted by the"
4281,I do not want to give the impression that I am simply wiping away the problems that are
4282,"but we must set priorities in terms of how we solve the problems , and we must"
4283,"I am convinced that adherence to basic rules of democracy , respect for minorities and human"
4284,"we believe that the Council , too , regardless of the debate on the legal basis , is"
4285,"this will , we hope , enable the Council to adopt both the regulation and the directive"
4286,"so , please put a stop to President Prodi , who has already told us through the press"
4287,"please vote for Amendment No 215 , which provides for a uniform legal basis"
4288,"with regard to the women 's programme in particular , I would like to join my fellow"
4289,the European Women 's Lobby is an organisation which pursues equal opportunities policy in
4290,I do not understand why it is this strength that is being weakened by trying to
4291,I therefore emphasise and support the fact that the Women 's Lobby should continue
4292,"the Conference of Committee Chairs must be involved and , together with the delegation chairmen ,"
4293,our proposal is to appoint a member - preferably the chair or a vice-chair -
4294,I hope that this last report will motivate those responsible in Turkey to move forward and not
4295,on security of supply :
4296,"I believe that , in the overall context , it is a relatively insignificant question"
4297,the argument that there are cost reasons against a 120-day stock is quite
4298,"regardless of this , it seems to me to be an illusion that an active oil"
4299,even 120 days would bring only minimal relief in a real shortage .
4300,"again , it is important to emphasise that scenarios must be developed that reduce the"
4301,"Mr President , we have just heard the excellent statement by a very qualified representative of the"
4302,we have spent over an hour debating this most important European issue of the present at a
4303,I would like to ask you whether there is any guarantee that this will be reflected in Parliament
4304,"otherwise , I am of course very happy that we have finally found a passage that makes competition"
4305,we must finally put an end to the privileges of nuclear energy .
4306,"in a liberalised internal energy market , it cannot be possible for nuclear energy to have a special"
4307,"there is one point , however , on which I cannot agree with the rapporteur 's argument"
4308,"the key to improving employment cannot be , as he calls for , to make the"
4309,"rather , it is about reacting to the changed situation on the labour market by rethin"
4310,I agree with the accession of the Czech Republic because I believe that the reunification of
4311,the capacity of the future Member States to implement the directives in the administrative and judicial sectors
4312,"so 2003 is a very crucial year , especially with regard to enlargement ."
4313,you should not underestimate this .
4314,"now , I sometimes hear that a democratic process in the traditional sense is not possible in Europe"
4315,"certainly , there is no European public and no European public opinion of the quality that exists"
4316,but that should not prevent us from strengthening the principles of democracy at European level .
4317,the reunification of Europe is a historic opportunity and Czechs and Germans in particular look
4318,I very much welcome the fact that the rapporteur is trying to propose a way of making the
4319,we will strongly support these proposals by the rapporteur .
4320,"I would therefore also like to thank Mrs Gebhardt , with whom I worked closely"
4321,"I do not want to bore you with details – time limits for implementation , the requirement"
4322,"Furthermore , we must also consider whether it is right – and we have just had cases"
4323,"as rapporteur for the European Parliament , I was present both at the NGO Forum in Beijing and"
4324,I would like to remind you that under the Spanish Presidency the EU spoke with one voice
4325,that was the good experience .
4326,the Committee on Transport and Tourism has incorporated its position on the Rack report into the Bro
4327,"as a Social Democrat , I would like to emphasise three points ."
4328,"firstly , we need a more ambitious transport infrastructure programme for the accession countries ."
4329,"we therefore believe that the Financial Perspective is not sufficient , because the gap between"
4330,"however , development periods of more than 50 years are politically unacceptable ."
4331,"however , I would also like to see regions have the opportunity to find appropriate additions"
4332,"on this point , I would not agree with the report before us ."
4333,all these paternalistic ideas you are developing here ignore the fact that you do not
4334,"this concept of thematic information and promotion measures , which complement national and regional measures ,"
4335,the basic question is
4336,: can one make politics with the budget ?
4337,can things be put in reserve to achieve political objectives ?
4338,"and we do this in many places , Mr Walter ."
4339,we are doing this in Afghanistan because we have said that there are some things that are not being
4340,we have the impression that the Commission underestimates the importance of the fight against drugs .
4341,please provide us with information about what you are doing and then we will release the money .
4342,"Mrs Gill 's budget is full of reserves , with which we want to get the administration"
4343,"in this respect , the budget is already a means of making Parliament 's political objectives"
4344,"as chairman of the committee , I always tried to be fair to all Member States , strict but"
4345,so let me say something about some of the points :
4346,"yes , Mr Trakatellis and others are right , Mr Staes !"
4347,we have no live animal tests yet .
4348,"we do not yet have tests for very early infection , and the Commission is therefore called"
4349,of course we need it .
4350,that would be a very good thing and would eliminate the consequences of such a terrible discrimina
4351,one last sentence : I would like to distance myself from paragraph 18 of the resolution .
4352,it is not acceptable that Member States are asked to cover the costs of caring for people
4353,I believe that it is up to the Member States – within the framework of the principle of
4354,"I will , of course , vote in favour of the report , but I have made sure"
4355,"a particularly acute problem is cluster bombs , which cause such terrible injuries , even"
4356,"the Members who have spoken before me have described this , and I would like to"
4357,you are all familiar with the descriptions of the horrific injuries caused by the use
